r,phi,dphi,V,dV
3.811295e+000,3.156081e-008,-4.749132e-003,2.079668e-032,2.496321e-024
3.811295e+000,2.854303e-008,-4.749129e-003,1.391239e-032,1.846530e-024
3.811296e+000,2.581380e-008,-4.749127e-003,9.306998e-033,1.365879e-024
3.811297e+000,2.334554e-008,-4.749125e-003,6.226119e-033,1.010341e-024
3.811297e+000,2.111329e-008,-4.749123e-003,4.165098e-033,7.473496e-025
3.811297e+000,1.909448e-008,-4.749122e-003,2.786333e-033,5.528148e-025
3.811298e+000,1.726870e-008,-4.749120e-003,1.863978e-033,4.089173e-025
3.811298e+000,1.561751e-008,-4.749119e-003,1.246949e-033,3.024763e-025
3.811298e+000,1.412419e-008,-4.749118e-003,8.341734e-034,2.237418e-025
3.811299e+000,1.277367e-008,-4.749117e-003,5.580384e-034,1.655019e-025
3.811299e+000,1.155228e-008,-4.749116e-003,3.733120e-034,1.224218e-025
3.811299e+000,1.044767e-008,-4.749115e-003,2.497352e-034,9.055547e-026
3.811299e+000,9.448687e-009,-4.749114e-003,1.670658e-034,6.698391e-026
3.811300e+000,8.545223e-009,-4.749113e-003,1.117623e-034,4.954802e-026
3.811300e+000,7.728146e-009,-4.749113e-003,7.476581e-035,3.665069e-026
3.811300e+000,6.989197e-009,-4.749112e-003,5.001622e-035,2.711053e-026
3.811300e+000,6.320904e-009,-4.749112e-003,3.345944e-035,2.005367e-026
3.811300e+000,5.716513e-009,-4.749111e-003,2.238342e-035,1.483371e-026
3.811300e+000,5.169912e-009,-4.749111e-003,1.497387e-035,1.097250e-026
3.811300e+000,4.675575e-009,-4.749110e-003,1.001710e-035,8.116361e-027
3.811301e+000,4.228507e-009,-4.749110e-003,6.701156e-036,6.003676e-027
3.811301e+000,3.824186e-009,-4.749110e-003,4.482884e-036,4.440921e-027
3.811301e+000,3.458525e-009,-4.749109e-003,2.998923e-036,3.284951e-027
3.811301e+000,3.127828e-009,-4.749109e-003,2.006195e-036,2.429879e-027
3.811301e+000,2.828751e-009,-4.749109e-003,1.342088e-036,1.797383e-027
3.811301e+000,2.558272e-009,-4.749109e-003,8.978188e-037,1.329525e-027
3.811301e+000,2.313655e-009,-4.749109e-003,6.006154e-037,9.834499e-028
3.811301e+000,2.092429e-009,-4.749108e-003,4.017947e-037,7.274583e-028
3.811301e+000,1.892355e-009,-4.749108e-003,2.687893e-037,5.381012e-028
3.811301e+000,1.711412e-009,-4.749108e-003,1.798125e-037,3.980336e-028
3.811301e+000,1.547770e-009,-4.749108e-003,1.202895e-037,2.944256e-028
3.811301e+000,1.399776e-009,-4.749108e-003,8.047025e-038,2.177867e-028
3.811301e+000,1.265932e-009,-4.749108e-003,5.383233e-038,1.610969e-028
3.811301e+000,1.144886e-009,-4.749108e-003,3.601231e-038,1.191635e-028
3.811301e+000,1.035415e-009,-4.749108e-003,2.409122e-038,8.814526e-029
3.811301e+000,9.364103e-010,-4.749107e-003,1.611634e-038,6.520108e-029
3.811301e+000,8.468727e-010,-4.749107e-003,1.078138e-038,4.822926e-029
3.811301e+000,7.658965e-010,-4.749107e-003,7.212438e-039,3.567520e-029
3.811301e+000,6.926631e-010,-4.749107e-003,4.824917e-039,2.638896e-029
3.811301e+000,6.264321e-010,-4.749107e-003,3.227733e-039,1.951992e-029
3.811301e+000,5.665339e-010,-4.749107e-003,2.159262e-039,1.443890e-029
3.811301e+000,5.123631e-010,-4.749107e-003,1.444486e-039,1.068046e-029
3.811301e+000,4.633720e-010,-4.749107e-003,9.663201e-040,7.900338e-030
3.811301e+000,4.190654e-010,-4.749107e-003,6.464408e-040,5.843883e-030
3.811301e+000,3.789952e-010,-4.749107e-003,4.324507e-040,4.322722e-030
