phi,lambda_eff,V
97047866833008.56,0.0135946554449738,3.014756142884219e+053
107254480085119.4,0.01365993132364278,4.519082735699716e+053
118534532223397.9,0.01372507003243606,6.77382758780337e+053
131000917801000.2,0.01379007193174336,1.015322226977443e+054
144778404594884.1,0.01385493738731199,1.521807507822423e+054
160004882323655.8,0.01391966677011702,2.28087658182149e+054
176832742694220.9,0.01398426045623434,3.418457969011188e+054
195430404589207.2,0.01404871882671647,5.123246519837245e+054
215983999659749.7,0.01411304226747124,7.677979852022895e+054
238699235193616.2,0.01417723116914302,1.150629593338248e+055
263803452902884.2,0.01424128592699678,1.724293207735336e+055
291547904236206.8,0.01430520694080454,2.583888975419528e+055
322210264987760.1,0.01436899461473447,3.871897742423623e+055
356097414369921.1,0.01443264935724244,5.801781251194195e+055
393548506363570.5,0.01449617158096595,8.693334753647574e+055
434938364085127.7,0.01455956170262051,1.302564316352383e+056
480681231142281.6,0.01462282014289826,1.951640429961898e+056
531234917523248.6,0.01468594732636891,2.924074456483733e+056
587105381513010.5,0.01474894368138289,4.380918468939095e+056
648851793493888.1,0.0148118096399767,6.563419578414267e+056
717092132310671.9,0.01487454563778032,9.832943587434621e+056
792509370210610.1,0.01493715211392685,1.473076955377525e+057
875858308259214.5,0.01499962951096401,2.206764336696746e+057
967973130643021,0.01506197827476783,3.305789791395248e+057
1069775753465308,0.01512419885445813,4.952031390567953e+057
1182285051592324,0.01518629170231606,7.417892590283752e+057
1306627055895405,0.01524825727370343,1.111134945648266e+058
1444046222946407,0.01531009602698394,1.664340966142729e+058
1595917889957354,0.01537180842344619,2.492913126721656e+058
1763762039617522,0.0154333949272284,3.733889345982818e+058
1949258512591076,0.01549485600524503,5.592491225120388e+058
2154263819927054,0.01555619212711488,8.376042218891023e+058
2380829723645938,0.01561740376509101,1.254475519522443e+059
2631223771463575,0.01567849139399225,1.87877778732904e+059
2907951991170871,0.01573945549113629,2.813705513063238e+059
3213783971802224,0.01580029653627431,4.213781074571572e+059
3551780582613470,0.0158610150115272,6.310379809943065e+059
3925324607290193,0.01592161140132325,9.449946197452523e+059
4338154599983840,0.01598208619233732,1.415121004745464e+060
4794402302018241,0.01604243987343145,2.119084728909602e+060
5298633993745505,0.01610267293559687,3.173172386119475e+060
5855896195414563,0.01616278587189744,4.751488761588723e+060
6471766174442014,0.01622277917741437,7.114699086185306e+060
7152407764579013,0.01628265334919242,1.065305697171906e+061
7904633055631190,0.01634240888618719,1.595081718927302e+061
8735970571143046,0.01640204628921389,2.388265974463492e+061
9654740616392014,0.01646156606089727,3.575803128683231e+061
1.067013855080022e+016,0.01652096870562279,5.35372121254179e+061
1.179232681818226e+016,0.01658025472948903,8.015474464597473e+061
1.303253665589858e+016,0.01663942464026121,1.200035612016395e+062
1.440318050085399e+016,0.01669847894732598,1.796596442033461e+062
1.591797621733809e+016,0.01675741816164726,2.68966704456694e+062
1.759208439002189e+016,0.01681624279572327,4.026597101420304e+062
1.944226005618479e+016,0.01687495336354454,6.027949169072943e+062
2.148702039575926e+016,0.01693355038055318,9.023869730239503e+062
2.374683005749147e+016,0.01699203436360299,1.350852601203627e+063
2.624430597602426e+016,0.01705040583092082,2.022158060660451e+063
2.900444372978098e+016,0.01710866530206873,3.027013107184598e+063
3.205486770511556e+016,0.01716681329790738,4.531120875361321e+063
3.542610757045604e+016,0.01722485034056018,6.78249080945763e+063
3.915190382748761e+016,0.01728277695337855,1.015231477296977e+064
4.3269545497434e+016,0.01734059366090806,1.519614062584674e+064
4.782024332211521e+016,0.01739830098885548,2.274542074691596e+064
5.2849542214903e+016,0.01745589946405682,3.404451564180867e+064
5.840777708952212e+016,0.01751338961444618,5.095571852512234e+064
6.455057662878503e+016,0.01757077196902548,7.626606792359691e+064
7.13394200351469e+016,0.01762804705783511,1.141464757469168e+065
7.884225233522766e+016,0.01768521541192538,1.708387766618207e+065
8.713416439647555e+016,0.01774227756332881,2.556838285737924e+065
9.629814446180742e+016,0.01779923404503322,3.826599391147907e+065
1.064259087238372e+017,0.01785608539095565,5.726848987526118e+065
1.176188192513584e+017,0.01791283213591703,8.570605908998592e+065
1.299888984549976e+017,0.01796947481561769,1.282627204473416e+066
1.436599502451521e+017,0.0180260139666135,1.919475435641973e+066
1.587687991031368e+017,0.01808245012629294,2.872486022582904e+066
1.75466659466582e+017,0.01813878383285469,4.298595761262952e+066
1.939206491343497e+017,0.01819501562528614,6.432631403346686e+066
2.143154618376351e+017,0.01825114604334249,9.625962528379108e+066
2.36855215716906e+017,0.01830717562752654,1.440433347330177e+067
2.617654962048589e+017,0.01836310491906927,2.155438955173791e+067
2.892956137612518e+017,0.01841893445991093,3.225313298721245e+067
3.197210990557811e+017,0.01847466479268298,4.826160543467916e+067
3.533464605716331e+017,0.01853029646069052,7.221465782766421e+067
3.905082322287329e+017,0.01858583000789541,1.080544715327771e+068
4.315783415283276e+017,0.01864126597890012,1.616791357174303e+068
4.769678319284279e+017,0.01869660491893203,2.419129511390966e+068
5.271309767048926e+017,0.01875184737382843,3.619580341478489e+068
5.825698254710598e+017,0.01880699389002213,5.415659331608873e+068
6.43839228859022e+017,0.01886204501452769,8.102863516985357e+068
7.115523916512433e+017,0.01891700129492808,1.212327155283718e+069
7.863870099401284e+017,0.01897186327936207,1.813824728978954e+069
8.690920537382963e+017,0.01902663151651215,2.713719982023537e+069
9.604952629222044e+017,0.01908130655559293,4.060027981642505e+069
1.061511431531045e+018,0.01913588894634014,6.074175735063063e+069
1.173151563332961e+018,0.01919037923900023,9.087408702679261e+069
1.296532990290572e+018,0.01924477798432034,1.359525010263955e+070
1.432890555194798e+018,0.01929908573353894,2.033896384652808e+070
1.583588970386562e+018,0.01935330303837693,3.04274094475118e+070
1.750136476256589e+018,0.01940743045102921,4.551931447615312e+070
1.934199936222176e+018,0.01946146852415683,6.809591743691992e+070
2.137621519256524e+018,0.01951541781087954,1.018687820209733e+071
2.362437136934996e+018,0.0195692788647689,1.523897914696538e+071
2.610896819522459e+018,0.01962305223984183,2.279635468661118e+071
2.885487235032428e+018,0.01967673849055466,3.410120708253872e+071
3.188956576636355e+018,0.01973033817179759,5.101160169458366e+071
3.52434206750458e+018,0.01978385183888968,7.63067707166968e+071
